2000501,CON PDG PEACE CONF,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CHULA,AR   ,STAFF                        ,06 JAN - 12 FEB 59  ,                    ,                    ,21 ,16/01/2559 20:00
2017805,TRG BIO DENT MAT  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017806,SPEC TOPIC BIOMAT ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,815  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017807,INST BIOMAT RES   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,815  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017808,FUND DENT SCI I   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,816  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017809,FUND DENT SCI II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,816  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017814,THESIS            ,24 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,S/U                 ,                    ,                    ,10 ,16/01/2559 20:00
2017816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,S/U                 ,                    ,                    ,10 ,16/01/2559 20:00
2017828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017829,DISSERTATION      ,60 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,DEN16,815  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2017830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,815  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,FR,  ,  ,  ,  ,  ,  ,0800-0900,DEN15,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2017897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2019811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST3,1104 ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2019826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST3,1104 ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2019828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,INST3,IA   ,STAFF                        ,                    ,                    ,                    ,19 ,16/01/2559 20:00
2019830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,INST3,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2019894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST3,1104 ,STAFF                        ,                    ,                    ,                    ,22 ,16/01/2559 20:00
2019897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,INST2,406  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2020600,INTRO BME         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020600,INTRO BME         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020601,BASIC ENG BME     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020601,BASIC ENG BME     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020602,HUMAN BODY BME    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020602,HUMAN BODY BME    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020603,RES METH INSTR    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020621,MED INSTRU        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020622,PWR ELEC BME APPL ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020623,TECH SENIOR DISABL,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020633,MED IMAG TECH     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020635,BIOMECHANICS      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020696,SPEC PROB BME     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020697,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020791,BME SEM I         ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020792,BME SEM II        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020793,BME SEM III       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2020794,BME SEM IV        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG1 ,305/3,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2020897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2021501,SMART MATERIALS   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VIDF5,506  ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2021504,QUANT ELECT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2021506,COMP SIM NANO     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2021507,BIO-NANOMATERIALS ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VIDF5,506  ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2021562,THIN FILM TECH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2021563,MICROSCOPY NANO   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1430,VIDF5,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2021565,SEMICOND MTRL     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,     ,AR   ,SSP                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2021701,INDIVIDUAL STUDY  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2021702,SEMINAR           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VIDF5,506  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2021828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2021894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2021897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2022503,INT INNO FLD TRIP ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,200,16/01/2559 20:00
2022506,INNO II CODSGN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0900-1000,CHMSQ,AR   ,STAFF                        ,TIP                 ,                    ,                    ,40 ,16/01/2559 20:00
2022506,INNO II CODSGN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,SA,  ,  ,  ,  ,  ,  ,1000-1100,CHMSQ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2022506,INNO II CODSGN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,SA,  ,  ,  ,  ,  ,  ,1100-1200,CHMSQ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2022506,INNO II CODSGN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2022700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2022813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,TIP                 ,                    ,                    ,60 ,16/01/2559 20:00
2022826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,TIP                 ,                    ,                    ,100,16/01/2559 20:00
2022828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,SU,  ,  ,  ,  ,  ,  ,1630-1930,MHMK ,IA   ,STAFF                        ,TIP                 ,                    ,                    ,10 ,16/01/2559 20:00
2022894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,TIP                 ,                    ,                    ,120,16/01/2559 20:00
2022894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
2022896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MHMK ,IA   ,STAFF                        ,QUALIFY EXAM        ,                    ,                    ,50 ,16/01/2559 20:00
2022897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MHMK ,IA   ,STAFF                        ,COMPREHENSIVE       ,                    ,                    ,60 ,16/01/2559 20:00
2023502,ENGY ENV CC       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1700-2000,INST2,222  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2023502,ENGY ENV CC       ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
2023503,RENEW ENGY RES    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,1700-2000,INST2,222  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2023507,CLIMATE SCI IAM   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1700-2000,INST2,222  ,SLK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2023513,STG ENV ASSES     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1700-2000,INST2,222  ,SLK                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2023601,RES METH EDS      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1700-1900,INST2,222  ,SLK,STAFF                    ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023601,RES METH EDS      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1900-2000,INST2,222  ,SLK,STAFF                    ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023604,ADV ISS EDS       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,TH,  ,  ,  ,  ,  ,  ,1700-1900,INST2,222  ,SLK,STAFF                    ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023604,ADV ISS EDS       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1900-2000,INST2,222  ,SLK,STAFF                    ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2023826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2023828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2023831,DISSERTATION      ,51 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2023894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1700-2000,INST2,222  ,SLK,STAFF                    ,A/R                 ,                    ,                    ,30 ,16/01/2559 20:00
2023897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2024601,CHANGE EA         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024603,INTRO KR STUD     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024610,KOREAN SOCIETY    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024630,UNDERSTAND IR EA  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024630,UNDERSTAND IR EA  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,ID5187650820        ,                    ,                    ,1  ,16/01/2559 20:00
2024651,CHG WORLD ORD KR  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024652,MULTI TRADE NEGN  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024653,FOR DIR INVEST    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024653,FOR DIR INVEST    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2024655,BUS MGT KR        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024655,BUS MGT KR        ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024680,MOD TRANS KR SOC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024680,MOD TRANS KR SOC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2024681,MOD KR HIS SOC    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,317  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024681,MOD KR HIS SOC    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024711,SPEC TOP KR STUD  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024711,SPEC TOP KR STUD  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024711,SPEC TOP KR STUD  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024711,SPEC TOP KR STUD  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024712,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024712,INDIVIDUAL STUDY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2024811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2024811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2025600,GLOBAL MAR AFF    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1600,CHALE,611  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2025601,MAR SEC TH/SEA    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1600,CHALE,611  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2025602,SEC ISS MAR AFF   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,611  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2025701,MASTER PROJECT    ,6  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,S/U                 ,                    ,                    ,30 ,16/01/2559 20:00
2025811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,S/U                 ,                    ,                    ,30 ,16/01/2559 20:00
2025896,COMPREHENSIVE EXAM,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2026501,SEM ENGY TECH MGT ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SU,  ,  ,  ,  ,  ,  ,1300-1600,CHALE,609  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
